inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
10,Durango,10002,Canelas,4200,Robo a casa habitación,0,0,2024-08
10,Durango,10002,Canelas,4300,Robo a negocio,0,0,2024-08
10,Durango,10002,Canelas,4400,Robo a transeúnte total,0,0,2024-08
10,Durango,10002,Canelas,4940,Robo en transporte público,0,0,2024-08
10,Durango,10002,Canelas,5000,Violación,0,0,2024-08
10,Durango,10002,Canelas,6000,Violencia familiar,0,0,2024-08
10,Durango,10002,Canelas,7000,Trata de personas,0,0,2024-08
10,Durango,10002,Canelas,8000,Narcomenudeo,0,0,2024-08
10,Durango,10002,Canelas,9000,Lesiones dolosas,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,0,Total de delitos,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,1100,Homicidio doloso,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,1120,Feminicidio,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,1200,Homicidio culposo,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,2000,Secuestro,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,3000,Extorsión,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,4001,Robo con violencia,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,4100,Robo de vehículo,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,4200,Robo a casa habitación,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,4300,Robo a negocio,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,4400,Robo a transeúnte total,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,4940,Robo en transporte público,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,5000,Violación,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,6000,Violencia familiar,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,7000,Trata de personas,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,8000,Narcomenudeo,0,0,2024-08
10,Durango,10003,Coneto De Comonfort,9000,Lesiones dolosas,0,0,2024-08
10,Durango,10004,Cuencame,0,Total de delitos,39,100.75436401367188,2024-08
10,Durango,10004,Cuencame,1100,Homicidio doloso,0,0,2024-08
10,Durango,10004,Cuencame,1120,Feminicidio,0,0,2024-08
10,Durango,10004,Cuencame,1200,Homicidio culposo,3,7.750335693359375,2024-08
10,Durango,10004,Cuencame,2000,Secuestro,0,0,2024-08
10,Durango,10004,Cuencame,3000,Extorsión,1,2.5834453105926514,2024-08
10,Durango,10004,Cuencame,4001,Robo con violencia,3,7.750335693359375,2024-08
10,Durango,10004,Cuencame,4100,Robo de vehículo,3,7.750335693359375,2024-08
